Repeat Index:1


Test input:1
AgentNum=  1; Start( 2, 7); Moves=right
AgentNum=  2; Start( 6, 0); Moves=right
AgentNum=  3; Start( 1, 5); Moves=down 
AgentNum=  4; Start( 3, 3); Moves=right
AgentNum=  5; Start(10, 2); Moves=down 
AgentNum=  6; Start( 6,10); Moves=right
AgentNum=  7; Start(10, 0); Moves=up   
AgentNum=  8; Start( 1, 3); Moves=up   
AgentNum=  9; Start(10, 0); Moves=up   
AgentNum= 10; Start( 1, 4); Moves=right
AgentNum= 11; Start( 4, 2); Moves=left 
AgentNum= 12; Start( 7, 8); Moves=right
AgentNum= 13; Start( 6, 6); Moves=up   
AgentNum= 14; Start( 1, 4); Moves=up   
AgentNum= 15; Start( 3, 2); Moves=up   
AgentNum= 16; Start( 7, 4); Moves=up   
AgentNum= 17; Start( 6, 5); Moves=left 
AgentNum= 18; Start( 1, 6); Moves=left 
AgentNum= 19; Start( 9, 2); Moves=down 
AgentNum= 20; Start( 8, 3); Moves=down 


Repeat Index:2


Test input:1
AgentNum=  1; Start( 6, 0); Moves=up   
AgentNum=  2; Start(10, 3); Moves=down 
AgentNum=  3; Start( 1, 3); Moves=left 
AgentNum=  4; Start( 0, 7); Moves=up   
AgentNum=  5; Start( 0, 5); Moves=down 
AgentNum=  6; Start( 4, 3); Moves=left 
AgentNum=  7; Start( 5, 6); Moves=up   
AgentNum=  8; Start( 0,10); Moves=right
AgentNum=  9; Start( 8, 0); Moves=down 
AgentNum= 10; Start( 1,10); Moves=left 
AgentNum= 11; Start( 0, 8); Moves=left 
AgentNum= 12; Start(10, 7); Moves=left 
AgentNum= 13; Start( 5, 8); Moves=left 
AgentNum= 14; Start( 0, 5); Moves=right
AgentNum= 15; Start( 5, 1); Moves=down 
AgentNum= 16; Start( 3, 0); Moves=up   
AgentNum= 17; Start( 1,10); Moves=left 
AgentNum= 18; Start( 2, 9); Moves=left 
AgentNum= 19; Start( 1, 3); Moves=up   
AgentNum= 20; Start( 5, 2); Moves=down 


Repeat Index:3


Test input:1
AgentNum=  1; Start(10, 1); Moves=right
AgentNum=  2; Start( 4, 9); Moves=up   
AgentNum=  3; Start( 2,10); Moves=left 
AgentNum=  4; Start( 3, 2); Moves=left 
AgentNum=  5; Start( 4, 8); Moves=up   
AgentNum=  6; Start( 8,10); Moves=right
AgentNum=  7; Start( 4, 0); Moves=left 
AgentNum=  8; Start( 6, 8); Moves=right
AgentNum=  9; Start( 1, 0); Moves=left 
AgentNum= 10; Start( 3, 4); Moves=down 
AgentNum= 11; Start( 4, 2); Moves=up   
AgentNum= 12; Start( 6,10); Moves=left 
AgentNum= 13; Start( 7, 2); Moves=right
AgentNum= 14; Start( 2, 4); Moves=right
AgentNum= 15; Start( 1, 7); Moves=up   
AgentNum= 16; Start( 4, 4); Moves=left 
AgentNum= 17; Start( 1, 0); Moves=left 
AgentNum= 18; Start( 3,10); Moves=down 
AgentNum= 19; Start( 8, 8); Moves=right
AgentNum= 20; Start( 7, 1); Moves=down 


Repeat Index:4


Test input:1
AgentNum=  1; Start( 3, 2); Moves=up   
AgentNum=  2; Start( 5, 0); Moves=up   
AgentNum=  3; Start( 2, 7); Moves=right
AgentNum=  4; Start( 5, 1); Moves=down 
AgentNum=  5; Start( 5,10); Moves=right
AgentNum=  6; Start( 9, 3); Moves=down 
AgentNum=  7; Start( 0, 4); Moves=right
AgentNum=  8; Start( 2, 1); Moves=up   
AgentNum=  9; Start( 8, 5); Moves=right
AgentNum= 10; Start( 3, 2); Moves=down 
AgentNum= 11; Start( 3,10); Moves=right
AgentNum= 12; Start( 3, 4); Moves=down 
AgentNum= 13; Start( 3, 0); Moves=right
AgentNum= 14; Start( 8, 8); Moves=left 
AgentNum= 15; Start( 4, 5); Moves=down 
AgentNum= 16; Start(10, 6); Moves=down 
AgentNum= 17; Start( 5, 6); Moves=down 
AgentNum= 18; Start( 5, 8); Moves=up   
AgentNum= 19; Start( 9, 1); Moves=left 
AgentNum= 20; Start( 3, 3); Moves=up   


Repeat Index:5


Test input:1
AgentNum=  1; Start( 0, 7); Moves=right
AgentNum=  2; Start( 2, 9); Moves=down 
AgentNum=  3; Start( 8, 0); Moves=right
AgentNum=  4; Start( 3, 4); Moves=left 
AgentNum=  5; Start( 6, 6); Moves=left 
AgentNum=  6; Start( 9, 1); Moves=right
AgentNum=  7; Start( 6, 4); Moves=up   
AgentNum=  8; Start( 7,10); Moves=left 
AgentNum=  9; Start( 8, 5); Moves=right
AgentNum= 10; Start( 6, 5); Moves=left 
AgentNum= 11; Start( 8, 1); Moves=down 
AgentNum= 12; Start( 8, 9); Moves=left 
AgentNum= 13; Start( 9, 9); Moves=down 
AgentNum= 14; Start( 7, 7); Moves=right
AgentNum= 15; Start( 7, 4); Moves=right
AgentNum= 16; Start( 5, 1); Moves=up   
AgentNum= 17; Start( 7, 5); Moves=down 
AgentNum= 18; Start( 9, 0); Moves=left 
AgentNum= 19; Start( 6, 9); Moves=up   
AgentNum= 20; Start( 8, 9); Moves=right


Repeat Index:6


Test input:1
AgentNum=  1; Start( 7, 4); Moves=down 
AgentNum=  2; Start( 6, 5); Moves=down 
AgentNum=  3; Start(10, 2); Moves=up   
AgentNum=  4; Start( 3, 0); Moves=up   
AgentNum=  5; Start(10, 8); Moves=left 
AgentNum=  6; Start( 2, 3); Moves=down 
AgentNum=  7; Start( 3, 1); Moves=down 
AgentNum=  8; Start( 5, 5); Moves=up   
AgentNum=  9; Start( 2, 0); Moves=right
AgentNum= 10; Start( 4,10); Moves=left 
AgentNum= 11; Start( 4, 3); Moves=down 
AgentNum= 12; Start( 6, 5); Moves=right
AgentNum= 13; Start( 1, 7); Moves=down 
AgentNum= 14; Start( 6, 6); Moves=down 
AgentNum= 15; Start( 0, 7); Moves=right
AgentNum= 16; Start( 5, 9); Moves=down 
AgentNum= 17; Start( 6, 2); Moves=down 
AgentNum= 18; Start( 8, 7); Moves=right
AgentNum= 19; Start( 7, 4); Moves=right
AgentNum= 20; Start( 6, 9); Moves=down 


Test input:2
AgentNum=  1; Start( 4, 8); Moves=down 
AgentNum=  2; Start( 4, 0); Moves=left 
AgentNum=  3; Start( 7, 1); Moves=left 
AgentNum=  4; Start( 3, 2); Moves=down 
AgentNum=  5; Start( 8, 1); Moves=down 
AgentNum=  6; Start( 5, 8); Moves=left 
AgentNum=  7; Start( 5, 6); Moves=right
AgentNum=  8; Start( 3, 2); Moves=down 
AgentNum=  9; Start( 0,10); Moves=right
AgentNum= 10; Start( 1, 8); Moves=down 
AgentNum= 11; Start( 8, 9); Moves=up   
AgentNum= 12; Start( 5, 9); Moves=left 
AgentNum= 13; Start(10, 1); Moves=left 
AgentNum= 14; Start( 4, 0); Moves=right
AgentNum= 15; Start( 2,10); Moves=left 
AgentNum= 16; Start( 1, 9); Moves=up   
AgentNum= 17; Start(10, 0); Moves=up   
AgentNum= 18; Start(10, 9); Moves=up   
AgentNum= 19; Start( 2, 7); Moves=down 
AgentNum= 20; Start( 2, 2); Moves=left 


Repeat Index:7


Test input:1
AgentNum=  1; Start( 8, 8); Moves=right
AgentNum=  2; Start( 3, 2); Moves=left 
AgentNum=  3; Start( 5, 3); Moves=left 
AgentNum=  4; Start( 3, 1); Moves=left 
AgentNum=  5; Start( 2, 8); Moves=left 
AgentNum=  6; Start( 5, 5); Moves=left 
AgentNum=  7; Start( 2, 5); Moves=right
AgentNum=  8; Start( 4, 8); Moves=up   
AgentNum=  9; Start(10, 2); Moves=left 
AgentNum= 10; Start( 1, 1); Moves=down 
AgentNum= 11; Start( 3, 5); Moves=left 
AgentNum= 12; Start( 1, 8); Moves=right
AgentNum= 13; Start( 1, 6); Moves=right
AgentNum= 14; Start( 3, 5); Moves=left 
AgentNum= 15; Start( 8, 9); Moves=left 
AgentNum= 16; Start( 8, 2); Moves=right
AgentNum= 17; Start( 6, 3); Moves=left 
AgentNum= 18; Start( 7,10); Moves=down 
AgentNum= 19; Start( 5, 0); Moves=right
AgentNum= 20; Start( 9, 9); Moves=up   


Repeat Index:8


Test input:1
AgentNum=  1; Start( 5, 0); Moves=right
AgentNum=  2; Start( 7, 8); Moves=right
AgentNum=  3; Start( 6, 7); Moves=up   
AgentNum=  4; Start( 9, 7); Moves=right
AgentNum=  5; Start(10,10); Moves=right
AgentNum=  6; Start( 0, 6); Moves=right
AgentNum=  7; Start( 4, 3); Moves=left 
AgentNum=  8; Start( 5, 0); Moves=right
AgentNum=  9; Start( 4, 1); Moves=right
AgentNum= 10; Start( 9, 8); Moves=down 
AgentNum= 11; Start( 9, 0); Moves=right
AgentNum= 12; Start( 7, 6); Moves=right
AgentNum= 13; Start( 2, 4); Moves=up   
AgentNum= 14; Start( 4, 6); Moves=down 
AgentNum= 15; Start( 8, 3); Moves=right
AgentNum= 16; Start( 3, 2); Moves=left 
AgentNum= 17; Start( 1, 1); Moves=down 
AgentNum= 18; Start(10, 6); Moves=down 
AgentNum= 19; Start( 9, 7); Moves=left 
AgentNum= 20; Start( 5, 5); Moves=right


Repeat Index:9


Test input:1
AgentNum=  1; Start( 3,10); Moves=right
AgentNum=  2; Start(10, 5); Moves=up   
AgentNum=  3; Start( 7, 0); Moves=right
AgentNum=  4; Start(10, 8); Moves=right
AgentNum=  5; Start( 9, 3); Moves=right
AgentNum=  6; Start( 1, 6); Moves=left 
AgentNum=  7; Start(10, 3); Moves=left 
AgentNum=  8; Start( 7, 8); Moves=left 
AgentNum=  9; Start(10, 0); Moves=left 
AgentNum= 10; Start(10, 3); Moves=down 
AgentNum= 11; Start( 9, 7); Moves=left 
AgentNum= 12; Start( 6, 7); Moves=down 
AgentNum= 13; Start( 4, 4); Moves=right
AgentNum= 14; Start(10, 5); Moves=up   
AgentNum= 15; Start( 3, 6); Moves=right
AgentNum= 16; Start( 7, 8); Moves=down 
AgentNum= 17; Start( 5, 6); Moves=up   
AgentNum= 18; Start( 0, 4); Moves=down 
AgentNum= 19; Start( 0, 2); Moves=up   
AgentNum= 20; Start(10, 2); Moves=up   


Repeat Index:10


Test input:1
AgentNum=  1; Start( 7, 5); Moves=down 
AgentNum=  2; Start( 8, 8); Moves=down 
AgentNum=  3; Start( 7, 9); Moves=right
AgentNum=  4; Start( 0, 6); Moves=down 
AgentNum=  5; Start( 0, 0); Moves=right
AgentNum=  6; Start( 8, 4); Moves=left 
AgentNum=  7; Start( 7, 3); Moves=right
AgentNum=  8; Start( 9,10); Moves=down 
AgentNum=  9; Start( 2, 4); Moves=right
AgentNum= 10; Start( 6, 2); Moves=down 
AgentNum= 11; Start( 7, 9); Moves=right
AgentNum= 12; Start( 4, 5); Moves=down 
AgentNum= 13; Start( 7, 9); Moves=up   
AgentNum= 14; Start( 7, 0); Moves=right
AgentNum= 15; Start( 4, 4); Moves=right
AgentNum= 16; Start( 6, 5); Moves=right
AgentNum= 17; Start( 6, 5); Moves=right
AgentNum= 18; Start( 5, 0); Moves=down 
AgentNum= 19; Start(10, 4); Moves=down 
AgentNum= 20; Start( 5, 6); Moves=up   


