Detection Run 1
#Info# Executed steps before collision: 6, Found collision: false
Turtle 1 :[(-1,-1), (7,0), (6,0), (6,1), (5,1), (-1,-1), (-1,-1)]
Turtle 2 :[(-2,-2), (0,0), (0,1), (0,2), (0,3), (0,4), (-2,-2)]
Turtle 3 :[(-3,-3), (8,1), (7,1), (7,0), (6,0), (5,0), (4,0)]
Turtle 4 :[(-4,-4), (6,5), (6,6), (7,6), (8,6), (9,6), (9,7)]
Turtle 5 :[(-5,-5), (6,8), (5,8), (4,8), (4,7), (4,6), (4,5)]

Fault Detection Run 2
#Info# Executed steps before collision: 5, Found collision: true
Turtle 1 :[(-1,-1), (2,8), (1,8), (1,9), (0,9), (0,9), (-1,-1)]
Turtle 2 :[(-2,-2), (3,9), (2,9), (2,9), (1,9), (0,9), (-2,-2)]
Turtle 3 :[(-3,-3), (7,0), (7,1), (7,2), (8,2), (8,3), (9,3)]
Turtle 4 :[(-4,-4), (5,7), (4,7), (3,7), (3,8), (2,8), (2,9)]
Turtle 5 :[(-5,-5), (4,9), (4,8), (5,8), (5,7), (6,7), (7,7)]

