Detection Run 1
#Info# Executed steps before collision: 7, Found collision: false
Turtle 1 :[(-1,-1), (9,1), (9,2), (9,2), (9,3), (9,4), (-1,-1), (-1,-1)]
Turtle 2 :[(-2,-2), (1,7), (2,7), (3,7), (4,7), (4,6), (4,5), (-2,-2)]
Turtle 3 :[(-3,-3), (6,3), (7,3), (7,4), (8,4), (7,4), (8,4), (9,4)]
Turtle 4 :[(-4,-4), (8,0), (9,0), (9,0), (-4,-4), (-4,-4), (-4,-4), (-4,-4)]
Turtle 5 :[(-5,-5), (1,3), (1,4), (1,3), (1,2), (1,1), (1,0), (-5,-5)]

Fault Detection Run 2
#Info# Executed steps before collision: 3, Found collision: true
Turtle 1 :[(-1,-1), (2,5), (2,4), (2,3), (2,2), (3,2), (4,2), (-1,-1)]
Turtle 2 :[(-2,-2), (2,1), (2,2), (2,3), (2,4), (2,5), (1,5), (-2,-2)]
Turtle 3 :[(-3,-3), (3,4), (3,5), (3,6), (4,6), (5,6), (6,6), (-3,-3)]
Turtle 4 :[(-4,-4), (5,9), (5,9), (5,8), (5,7), (5,8), (5,7), (-4,-4)]
Turtle 5 :[(-5,-5), (6,10), (6,9), (6,8), (6,8), (5,8), (4,8), (3,8)]

