Detection Run 1
#Info# Executed steps before collision: 6, Found collision: false
Turtle 1 :[(-1,-1), (7,2), (7,1), (8,1), (8,0), (9,0), (9,0)]
Turtle 2 :[(-2,-2), (3,6), (2,6), (2,5), (1,5), (0,5), (0,4)]
Turtle 3 :[(-3,-3), (2,3), (3,3), (3,4), (4,4), (5,4), (6,4)]
Turtle 4 :[(-4,-4), (4,1), (3,1), (3,2), (3,3), (3,4), (2,4)]
Turtle 5 :[(-5,-5), (8,1), (8,2), (8,3), (8,4), (8,5), (-5,-5)]

Detection Run 2
#Info# Executed steps before collision: 8, Found collision: false
Turtle 1 :[(-1,-1), (0,4), (0,5), (0,4), (1,4), (2,4), (3,4), (4,4), (4,5)]
Turtle 2 :[(-2,-2), (7,8), (7,7), (7,8), (6,8), (-2,-2), (-2,-2), (-2,-2), (-2,-2)]
Turtle 3 :[(-3,-3), (1,4), (1,5), (1,6), (1,7), (0,7), (0,8), (-3,-3), (-3,-3)]
Turtle 4 :[(-4,-4), (7,2), (8,2), (9,2), (9,2), (-4,-4), (-4,-4), (-4,-4), (-4,-4)]
Turtle 5 :[(-5,-5), (8,6), (8,7), (8,8), (8,9), (8,9), (-5,-5), (-5,-5), (-5,-5)]

Fault Detection Run 3
#Info# Executed steps before collision: 4, Found collision: true
Turtle 1 :[(-1,-1), (5,4), (5,3), (4,3), (3,3), (3,3), (2,3), (-1,-1), (-1,-1)]
Turtle 2 :[(-2,-2), (5,2), (6,2), (7,2), (8,2), (8,3), (9,3), (-2,-2), (-2,-2)]
Turtle 3 :[(-3,-3), (3,2), (4,2), (3,2), (3,3), (4,3), (5,3), (5,4), (6,4)]
Turtle 4 :[(-4,-4), (4,8), (4,9), (5,9), (6,9), (7,9), (7,9), (-4,-4), (-4,-4)]
Turtle 5 :[(-5,-5), (2,4), (1,4), (1,5), (1,6), (0,6), (-5,-5), (-5,-5), (-5,-5)]

